NUM_LOCATIONS 50


;Number    X     Y   Type     Special_value

 0       482   146   tone     0
 1      1155   276   tone     0
 2      1740   197   tone     0
 3      2226   275   tone     0
 4       619   240   bridge   6
 5      1537   111   bridge   7
 6       666   267   smpad    0
 7      1014   141   mdpad    0
 8      1303   247   smpad    0
 9       899   224   smpad    0
10      1608   217   smpad    0
11      1845   126   smpad    0
12      2403   265   smpad    0
13      2214   161   smpad    0
14      2175   179   smpad    0
15      2218   198   smpad    0
16      2081   130   mdpad    0
17      1965   146   mdpad    0
18      1373   240   mdpad    0
19      1542   260   mdpad    0
20       499   276   mdpad    0
21       861   248   mdpad    0
22      1929   164   smpad    0
23      2026   127   smpad    0
24      1891   124   smpad    0
25      1870   142   smpad    0
26      1561   284   smpad    0
27      1600   266   smpad    0
28      1439   207   smpad    0
29      1457   187   smpad    0
30       844   209   smpad    0
31       541   234   smpad    0
32       501   247   smpad    0
33       608   297   smpad    0
34       554   299   mdpad    0
35       796   243   smpad    0
36      1403   287   lgpad    0
37      1547   205   lgpad    0
38      2474   274   lgpad    0
39      1469   294   smpad    0
40      1397   195   mdpad    0
41      1995    88   smpad    0
42      2042    92   smpad    0
43      2268   164   smpad    0
44      2285   192   smpad    0
45      1902    90   mdpad    0
46       336   244   smpad    0
47       178   191   feature  0
48       175   109   feattrig 0
49       175   109   feattrig 1




