NUM_LOCATIONS 61


;Number    X     Y   Type     Special_value

 0      1389   154   bridge   0
 1      2434   116   bridge   0
 2      1887   111   bridge   0
 3       613   126   bridge   0
 4       707   171   tone     0
 5      1511   212   tone     0
 6      2022   254   tone     0
 7       656   198   smpad    0
 8       703   206   smpad    0
 9       746   198   smpad    0
10       597   175   mdpad    0
11       536   205   mdpad    0
12       528   146   smpad    0
13       480   179   smpad    0
14       433   300   mdpad    0
15       327   285   lgpad    0
16       256   305   smpad    0
17       216   288   smpad    0
18       185   268   smpad    0
19       150   299   mdpad    0
20       802   298   mdpad    0
21       851   276   smpad    0
22       951   305   smpad    0
23       905   285   mdpad    0
24      1020   297   mdpad    0
25      1099   300   lgpad    0
26      1203   305   smpad    0
27      1356   237   smpad    0
28      1446   232   smpad    0
29      1501   247   smpad    0
30      1549   247   smpad    0
31      1600   217   mdpad    0
32      1476   165   mdpad    0
33      1397   206   mdpad    0
34      1646   269   lgpad    0
35      1425   288   mdpad    0
36      1719   300   smpad    0
37      1764   310   smpad    0
38      1947   305   smpad    0
39      2082   275   smpad    0
40      2008   287   smpad    0
41      1928   240   smpad    0
42      1825   138   mdpad    0
43      1968   121   mdpad    0
44      1889   141   smpad    0
45      2175   291   lgpad    0
46      2262   276   smpad    0
47      2313   265   smpad    0
48      2361   248   smpad    0
49      2509   139   mdpad    0
50      2360   149   mdpad    0
51      2415   157   smpad    0
52      2461   153   smpad    0
53      2449   262   lgpad    0
54      2396   300   smpad    0
55      2515   247   smpad    0
56      1593   154   lgpad    0
57        58   292   lgpad    0
58       219   107   feature  0
59       165   189   feattrig 0
60       266   188   feattrig 1


