NUM_LOCATIONS 65


;Number    X     Y   Type     Special_value

 0        47   262   mdpad    0
 1       419   216   lgpad    0
 2       476   263   smpad    0
 3       628   257   smpad    0
 4       506   185   smpad    0
 5       853   286   smpad    0
 6      1061   205   mdpad    0
 7      1123   202   smpad    0
 8       676   146   mdpad    0
 9      2209   237   smpad    0
10      2196   142   smpad    0
11      2343   194   mdpad    0
12      1661   248   smpad    0
13      1339   199   tone     0
14      1818   157   smpad    0
15      1929   199   smpad    0
16      1650   172   smpad    0
17      1601   200   smpad    0
18      1714   223   mdpad    0
19      1736   159   smpad    0
20      1905   145   mdpad    0
21      1877   172   smpad    0
22      1899   239   smpad    0
23      1978   236   mdpad    0
24      2059   235   lgpad    0
25      2157   185   tone     0
26      2100   145   mdpad    0
27        85   101   bridge   0
28       175   107   smpad    0
29       232   111   smpad    0
30       281   118   smpad    0
31       326   135   smpad    0
32       388   161   mdpad    0
33       568   159   mdpad    0
34      2476   185   bridge   0
35      2271   286   lgpad    0
36      2371   297   mdpad    0
37      1101   269   mdpad    0
38       993   142   smpad    0
39       818   143   smpad    0
40       939   131   smpad    0
41       756   280   lgpad    0
42       881   175   tone     0
43       144   227   mdpad    0
44       246   231   tone     0
45      1220   113   smpad    0
46      1323   105   bridge   0
47      1236   268   smpad    0
48      1483   182   feature  0
49      1427   240   feattrig 0
50      1584   240   feattrig 1
51        30   131   smpad    0
52      1361   140   mdpad    0
53      1287   133   smpad    0
54      1144    99   smpad    0
55      2479   132   smpad    0
56      2401   233   mdpad    0
57      2533   215   smpad    0
58      2266   188   smpad    0
59      1783   271   smpad    0
60       746   113   smpad    0
61       150    81   smpad    0
62      1385   285   smpad    0
63      1505   282   smpad    0
64      1641   309   smpad    0

