NUM_LOCATIONS 95


;Number    X     Y   Type     Special_value

 0      1122   206   tone     0
 1      1128   283   tone     0
 2      1491   273   tone     0
 3      1473   177   tone     0
 4      2380   108   bridge   13
 5       127   231   bridge   12
 6       915   175   tone     0
 7      1660   153   tone     0
 8        49   291   smpad    0
 9       136   266   smpad    0
10       210   231   smpad    0
11        41   235   smpad    0
12       210   156   levshld  0
13       292   277   smpad    0
14       371   277   smpad    0
15       445   267   smpad    0
16       518   238   smpad    0
17       553   182   smpad    0
18       428   170   smpad    0
19       355   159   smpad    0
20      2357   228   levshld  0
21      2485   248   smpad    0
22      2535   237   smpad    0
23      2515   139   smpad    0
24      2366   144   smpad    0
25      2318   160   levshld  0
26      2284   189   smpad    0
27      2236   107   smpad    0
28      2107   182   smpad    0
29      1986   242   smpad    0
30      1930   272   smpad    0
31      1828   194   levshld  0
32      1662   199   levshld  0
33      1787   129   smpad    0
34      1731   284   levshld  0
35      2155   275   smpad    0
36      2033   178   mdpad    0
37      1688   225   smpad    0
38      1739   150   smpad    0
39      1704   121   smpad    0
40      1755    91   smpad    0
41      1731   219   smpad    0
42      1749   265   smpad    0
43       900   268   smpad    0
44       896   307   smpad    0
45       868   220   smpad    0
46       937   201   smpad    0
47      1011   139   levshld  0
48       956   145   smpad    0
49        22   184   smpad    0
50       163   165   smpad    0
51      2053   276   smpad    0
52      1805   264   mdpad    0
53      1837   163   mdpad    0
54      1767   199   mdpad    0
55      1919   184   mdpad    0
56       827   154   lgpad    0
57       701   185   mdpad    0
58       832   263   mdpad    0
59       631   264   mdpad    0
60       723   269   mdpad    0
61       783   211   levshld  0
62       641   200   levshld  0
63       130   128   smpad    0
64       200   305   smpad    0
65       413    87   smpad    0
66       533   102   levshld  0
67       152    81   smpad    0
68        43   134   lgpad    0
69      2286   299   lgpad    0
70      1870   281   lgpad    0
71      2111   129   smpad    0
72       256   107   smpad    0
73       248   291   smpad    0
74       466   116   smpad    0
75       252   184   levshld  0
76       568   288   smpad    0
77       779   279   smpad    0
78       736   215   smpad    0
79       822   222   smpad    0
80      1948   310   levshld  0
81      1971   201   smpad    0
82      1985   285   smpad    0
83      2213   230   smpad    0
84      2374   289   smpad    0
85      2526   295   smpad    0
86      2429   141   smpad    0
87      2533   107   levshld  0
88      2459   277   smpad    0
89      2190   131   smpad    0
90      2280    67   levshld  0
91       689   308   smpad    0
92       496   292   mdpad    0
93       490   173   smpad    0
94      1299   150   levhub   0


