NUM_LOCATIONS 58


;Number    X     Y   Type     Special_value

 0      2473   255   tone     0
 1      1229   246   tone     0
 2       202   217   tone     0
 3      1874   198   tone     0
 4      2399    72   bridge   0
 5       535   274   bridge   0
 6      1513    90   bridge   0
 7       231   293   smpad    0
 8        38   231   smpad    0
 9       439   262   mdpad    0
10       344   291   lgpad    0
11       275   302   smpad    0
12       691   207   mdpad    0
13       794   297   mdpad    0
14       864   246   smpad    0
15       940   257   lgpad    0
16      1384   203   smpad    0
17      1402   108   smpad    0
18      1432   184   mdpad    0
19      1745   167   mdpad    0
20      1540   309   smpad    0
21      1599   299   smpad    0
22      1690   266   mdpad    0
23      1781   219   mdpad    0
24      1879   292   lgpad    0
25      1815   307   smpad    0
26      2303   248   lgpad    0
27      2218   291   smpad    0
28      2409   287   smpad    0
29       471   303   smpad    0
30       653   129   smpad    0
31      2239   178   mdpad    0
32      2338   147   mdpad    0
33      2489   166   smpad    0
34      2073   273   mdpad    0
35      2141   285   smpad    0
36      1983   147   mdpad    0
37      1811   165   smpad    0
38      1954   290   smpad    0
39       688   293   lgpad    0
40       308   211   smpad    0
41       179   304   smpad    0
42       105   230   mdpad    0
43       604   300   mdpad    0
44       879   296   smpad    0
45      2046   138   smpad    0
46      2164    99   smpad    0
47      2365   222   smpad    0
48      2534   277   smpad    0
49      1740   245   smpad    0
50       554   210   smpad    0
51      1097   224   feature  0
52      1097   155   feattrig 0
53      1102    57   feattrig 1
54      1330   158   smpad    0
55      1039   260   smpad    0
56      1162   258   smpad    0
57      1268   221   smpad    0

